City,Lat,Lng
Patiala,30.3397809,76.3868797
Patna,25.5940947,85.1375645
Perundurai,11.2746098,77.58270069999999
Pimpri-Chinchwad,18.6263131,73.805498
Pithampur,22.611121,75.6772689
Pratapgarh,25.9213561,81.98801999999999
Prayagraj,25.468338,81.85460189999999
Puducherry,11.9415915,79.8083133
Pudukottai,10.3832867,78.800129
Pune,18.5246091,73.8786239
Purnia,25.7771391,87.4752551
Raipur,21.2513844,81.62964130000002
Rairangpur,22.2709322,86.1700894
Rajamahendravaram,17.0005383,81.8040345
Rajgir,25.0261746,85.4173739
Rajsamand,25.0583257,73.88600339999999
Ramanagara,12.7208614,77.27989629999999
Ramanathapuram,9.3639356,78.8394819
Ratlam,23.3315103,75.0366677
Rishikesh,30.1157619,78.28530169999999
Rohtak,28.8955152,76.606611
Rourkela,22.260423,84.8535844
Rupnagar,30.9661003,76.5230961
Sagar,23.9259385,78.8382644
Saharsa,25.8773651,86.5927887
Samastipur,25.8560271,85.7868233
Sangli,16.8523973,74.5814773
Satna,24.6005075,80.8322428
Sawai Madhopur,26.012373,76.3560109
Shillong,25.5787726,91.8932535
Shivamogga,13.9299299,75.568101
Sikar,27.6093912,75.1397935
Silchar,24.8332708,92.7789054
Siliguri,26.7271012,88.39528609999999
Singrauli,24.1989544,82.6676209
Sirohi,24.8827147,72.8608948
Sirsa,29.5320731,75.03177339999999
Sivasagar,26.989087,94.63942399999999
Siwan,26.2243204,84.3599953
Solapur,17.6700736,75.9010467
Sri Ganganagar,29.9093759,73.87998050000002
Srinagar,34.0836708,74.7972825
Suakati,21.6043925,85.5161612
Surat,21.1702401,72.83106070000001
Talcher,20.9501027,85.216816
Thane,19.2122949,72.97716609999999
Thanjavur,10.787719,79.1384288
Thiruvananthapuram,8.5241391,76.9366376
Thoothukudi,8.764166099999999,78.1348361
Thrissur,10.5241176,76.2120649
Tirumala,13.6807357,79.3508975
Tirupati,13.6287557,79.4191795
Tonk,26.1659063,75.7962852
Tumakuru,13.3378762,77.117325
Udaipur,24.585445,73.712479
Ulhasnagar,19.2215115,73.1644628
Vapi,20.3893155,72.9106202
Varanasi,25.3176452,82.9739144
Vatva,22.9664255,72.6159326
Vijayapura,16.8301708,75.710031
Vijayawada,16.5061743,80.6480153
Virar,19.4563596,72.79246119999999
Visakhapatnam,17.6973801,83.29902539999999
Vrindavan,27.5650088,77.6593394
Yadgir,16.748739,77.130872
Yamuna Nagar,30.1290485,77.2673901
