S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
84,Gaya,Poor,203,PM10,1/3,24.7913957,85.0002336
85,Ghaziabad,Moderate,168,"PM10, PM2.5",4/4,28.6691565,77.45375779999999
86,Gorakhpur,Moderate,119,PM10,1/1,26.7605545,83.3731675
87,Greater Noida,Moderate,149,PM10,2/2,28.4743879,77.50399039999999
88,Gummidipoondi,Moderate,137,PM2.5,1/1,13.4109557,80.11697079999999
89,Gurugram,Moderate,167,"PM10, PM2.5",3/4,28.4594965,77.0266383
90,Guwahati,Moderate,133,PM2.5,4/4,26.1157917,91.7085933
91,Gwalior,Moderate,116,"PM10, PM2.5",3/4,26.2124007,78.1772053
92,Hajipur,Poor,272,PM2.5,1/1,25.6924354,85.20832399999999
93,Haldia,Moderate,174,PM2.5,1/1,22.0627164,88.0832934
94,Hassan,Moderate,104,PM2.5,1/1,13.0033234,76.1003894
95,Howrah,Poor,211,PM2.5,5/5,22.5957689,88.26363940000002
96,Hubballi,Satisfactory,51,CO,1/2,15.3647083,75.1239547
97,Hyderabad,Satisfactory,85,PM10,11/14,17.406498,78.47724389999999
98,Indore,Satisfactory,71,PM10,3/6,22.7195687,75.8577258
99,Jabalpur,Satisfactory,66,PM10,4/4,23.1685786,79.9338798
100,Jaipur,Moderate,103,"PM10, PM2.5",5/6,26.9124336,75.7872709
101,Jaisalmer,Moderate,119,PM10,1/1,26.9157487,70.9083443
102,Jalandhar,Satisfactory,80,PM10,1/1,31.3260152,75.57618289999999
103,Jalgaon,Moderate,102,PM2.5,1/1,21.0076578,75.5626039
104,Jalna,Moderate,125,PM2.5,1/1,19.8346659,75.88163449999999
105,Jalore,Moderate,126,PM10,1/1,25.3474783,72.6226296
106,Jhalawar,Satisfactory,77,PM10,1/1,24.593906,76.1642846
107,Jhansi,Good,34,PM2.5,1/1,25.4487699,78.5697526
108,Jhunjhunu,Moderate,132,PM10,1/1,28.1317038,75.4022233
109,Jodhpur,Moderate,150,"PM10, O3",4/5,26.2389469,73.02430939999999
110,Kadapa,Satisfactory,71,PM10,1/1,,
111,Kalaburagi,Satisfactory,77,PM10,1/2,17.329731,76.8342957
112,Kalyan,Moderate,176,"PM10, O3",2/2,19.2403305,73.1305395
113,Kanchipuram,Good,42,PM10,1/1,12.8371787,79.7041698
114,Kannur,Satisfactory,53,CO,1/1,11.8744775,75.37036619999999
115,Kanpur,Satisfactory,97,"PM10, PM2.5",3/4,26.449923,80.3318736
116,Karauli,Satisfactory,89,PM10,1/1,26.5049791,77.0267705
117,Karur,Satisfactory,63,PM10,1/1,10.9600778,78.07660360000001
118,Kashipur,Moderate,141,PM2.5,1/1,29.2104232,78.9618845
119,Katihar,Satisfactory,95,PM2.5,1/1,25.5540648,87.5591073
120,Katni,Moderate,162,PM10,1/1,23.8343441,80.38938139999999
121,Keonjhar,Moderate,112,PM10,1/1,21.6393113,85.60552500000001
122,Khanna,Satisfactory,76,PM10,1/1,30.70707689999999,76.2169907
123,Khurja,Moderate,142,PM10,1/1,28.2489801,77.854903
124,Kishanganj,Moderate,187,PM10,1/1,,
125,Kohima,Satisfactory,100,PM2.5,1/1,25.6751129,94.1085998
126,Kolar,Satisfactory,70,CO,1/1,13.1362143,78.12909859999999
127,Kolhapur,Satisfactory,98,"PM10, PM2.5",2/2,16.7049873,74.24325270000001
128,Kolkata,Moderate,161,PM2.5,7/7,22.5743545,88.3628734
129,Kollam,Satisfactory,91,PM10,1/1,8.8932118,76.6141396
130,Korba,Satisfactory,75,PM10,2/2,22.3594501,82.75005949999999
131,Kota,Moderate,113,"PM10, PM2.5",3/3,25.2138156,75.8647527
132,Kunjemura,Moderate,117,PM10,1/1,22.1196254,83.4952996
133,Latur,Satisfactory,100,PM2.5,1/1,18.4087934,76.5603828
134,Lucknow,Moderate,168,PM2.5,6/6,26.8466937,80.94616599999999
135,Ludhiana,Satisfactory,94,PM2.5,1/1,30.900965,75.8572758
136,Madikeri,Good,42,PM10,1/1,12.4244205,75.7381856
137,Madurai,Satisfactory,75,PM10,1/1,,
138,Mahad,Poor,201,PM2.5,1/1,18.0820208,73.42244099999999
139,Maihar,Good,36,PM10,1/1,24.2657817,80.7624352
140,Mandi Gobindgarh,Satisfactory,90,CO,1/1,30.66422799999999,76.29139049999999
141,Mandideep,Moderate,196,PM2.5,1/1,23.0992796,77.5114731
142,Mangalore,Satisfactory,98,PM10,1/1,12.9141417,74.8559568
143,Meerut,Moderate,118,PM10,2/3,28.9844618,77.7064137
144,Milupara,Satisfactory,85,PM10,1/1,,
145,Mira-Bhayandar,Moderate,149,PM2.5,1/1,19.2952325,72.8543897
146,Moradabad,Satisfactory,70,PM10,6/7,28.8386481,78.7733286
147,Motihari,Poor,216,PM2.5,1/1,26.6438482,84.9040337
