city,lats,longs
Naharlagun,27.1086309,93.69839789999999
Nashik,19.9974533,73.78980229999999
Navi Mumbai,19.0330488,73.0296625
Noida,28.5355161,77.3910265
Pali,25.7780623,73.331147
Palwal,28.1472852,77.3259878
Panchkula,30.6942091,76.860565
Panipat,29.3909464,76.9635023
Parbhani,19.2608384,76.774776
Patiala,30.3397809,76.3868797
Patna,25.5940947,85.1375645
Pimpri-Chinchwad,18.6297811,73.7997094
Pithampur,22.611121,75.6772689
Pratapgarh,25.8973038,81.9452981
Prayagraj,25.468338,81.85460189999999
Puducherry,11.9415915,79.8083133
Pudukottai,10.3832867,78.800129
Pune,18.5204303,73.8567437
Purnia,25.771665,87.47923589999999
Raipur,21.2513844,81.62964130000002
Rairangpur,22.2709322,86.1700894
Rajamahendravaram,17.0005383,81.8040345
Rajgir,25.0261746,85.4173739
Rajsamand,25.0583257,73.88600339999999
Ranipet,12.9487403,79.318978
Ratlam,23.3315103,75.0366677
Rishikesh,30.1157619,78.28530169999999
Rohtak,28.8955152,76.606611
Rourkela,22.260423,84.8535844
Rupnagar,30.9661003,76.5230961
Sagar,23.9259385,78.8382644
Saharsa,25.8773651,86.5927887
Samastipur,25.8560271,85.7868233
Sangli,16.8523973,74.5814773
Sasaram,24.9538803,84.01428659999999
Satna,24.6005075,80.8322428
Sawai Madhopur,26.012373,76.3560109
Shillong,25.5787726,91.8932535
Shivamogga,13.9299299,75.568101
Sikar,27.6093912,75.1397935
Silchar,24.8332708,92.7789054
Siliguri,26.7271012,88.39528609999999
Singrauli,24.1989544,82.6676209
Sirohi,24.8827147,72.8608948
Sirsa,29.5320731,75.03177339999999
Sivasagar,26.989087,94.63942399999999
Siwan,26.2243204,84.3599953
Solapur,17.6599188,75.9063906
Sonipat,28.99308229999999,77.0150735
Sri Ganganagar,29.9093759,73.87998050000002
Suakati,21.6043925,85.5161612
Surat,21.1702401,72.83106070000001
Talcher,20.9501027,85.216816
Thane,19.2183307,72.9780897
Thanjavur,10.787719,79.1384288
Thiruvananthapuram,8.5241391,76.9366376
Thoothukudi,8.764166099999999,78.1348361
Thrissur,10.5276416,76.2144349
Tirupati,13.6287557,79.4191795
Tonk,26.1659063,75.7962852
Tumakuru,13.3378762,77.117325
Udaipur,24.585445,73.712479
Ujjain,23.1764665,75.7885163
Ulhasnagar,19.2215115,73.1644628
Vapi,20.3893155,72.9106202
Varanasi,25.3176452,82.9739144
Vatva,22.9664255,72.6159326
Vellore,12.9235541,79.1330768
Vijayapura,16.8301708,75.710031
Vijayawada,16.5061743,80.6480153
Virudhunagar,9.5680116,77.96244349999999
Vrindavan,27.5650088,77.6593394
Yadgir,16.7625516,77.1442251
Yamuna Nagar,30.1290485,77.2673901
Badlapur,19.166784,73.236794
Baran,25.101145,76.513161
Badlapur,19.166784,73.236794
Baran,25.101145,76.513161
Chhal,22.12832,83.11623
Tensa,21.872885,85.164911
Virar,19.465622,72.806099
