S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",Lat,Lng
85,Gandhinagar,Moderate,124,"PM10, PM2.5",3/3,23.2156354,72.63694149999999
86,Gangtok,Good,44,PM2.5,1/1,27.3313512,88.6138113
87,Gaya,Moderate,124,"PM10, PM2.5",2/3,24.7913957,85.0002336
88,Ghaziabad,Poor,272,PM2.5,4/4,28.6691565,77.45375779999999
89,Gorakhpur,Satisfactory,56,PM10,1/1,26.7605545,83.3731675
90,Greater Noida,Poor,250,PM2.5,2/2,28.4743879,77.50399039999999
91,Gummidipoondi,Poor,281,PM2.5,1/1,13.4109557,80.11697079999999
92,Gurugram,Poor,232,PM2.5,4/4,28.4594965,77.0266383
93,Guwahati,Moderate,126,"PM10, PM2.5",2/4,26.1157917,91.7085933
94,Gwalior,Moderate,122,PM2.5,2/4,26.2124007,78.1772053
95,Hajipur,Moderate,126,PM2.5,1/1,25.6924354,85.20832399999999
96,Haldia,Moderate,174,PM2.5,1/1,22.0627164,88.0832934
97,Hanumangarh,Moderate,172,PM10,1/1,29.5821848,74.3292106
98,Hapur,Satisfactory,97,PM2.5,1/1,28.73057979999999,77.7758825
99,Hisar,Satisfactory,86,PM10,1/1,29.1491875,75.7216527
100,Howrah,Poor,201,PM2.5,5/5,22.5818019,88.33621749999999
101,Hubballi,Satisfactory,54,PM10,1/2,15.3647083,75.1239547
102,Hyderabad,Satisfactory,88,"PM10, PM2.5",13/14,17.406498,78.47724389999999
103,Indore,Satisfactory,83,"PM10, PM2.5",5/6,22.7195687,75.8577258
104,Jabalpur,Moderate,177,"O3 , PM2.5",3/4,23.1685786,79.9338798
105,Jaipur,Moderate,190,PM2.5,6/6,26.9124336,75.7872709
106,Jaisalmer,Satisfactory,67,O3,1/1,26.9157487,70.9083443
107,Jalandhar,Satisfactory,76,PM10,1/1,31.3260152,75.57618289999999
108,Jalgaon,Satisfactory,86,PM10,1/1,21.0076578,75.5626039
109,Jalna,Satisfactory,79,PM10,1/1,19.8346659,75.88163449999999
110,Jalore,Satisfactory,96,PM2.5,1/1,25.3474783,72.6226296
111,Jhalawar,Moderate,113,PM2.5,1/1,24.593906,76.1642846
112,Jhansi,Good,49,PM2.5,1/1,25.4487699,78.5697526
113,Jhunjhunu,Moderate,136,PM10,1/1,28.1317038,75.4022233
114,Jind,Moderate,104,PM2.5,1/1,29.325508,76.29979089999999
115,Jodhpur,Satisfactory,79,"PM10, O3",5/5,26.2389469,73.02430939999999
116,Kadapa,Satisfactory,82,PM2.5,1/1,14.4673154,78.8242089
117,Kalaburagi,Satisfactory,55,PM10,1/2,17.329731,76.8342957
118,Kalyan,Moderate,158,"PM10, O3",2/2,19.2403305,73.1305395
119,Kannur,Moderate,105,PM10,1/1,11.8704703,75.367882
120,Kanpur,Satisfactory,68,"PM10, PM2.5",3/4,26.449923,80.3318736
