S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations"
124,Katni,Satisfactory,93,PM10,1/1
125,Keonjhar,Moderate,194,PM2.5,1/1
126,Khanna,Satisfactory,77,PM10,1/1
127,Khurja,Satisfactory,99,PM10,1/1
128,Kishanganj,Satisfactory,59,PM10,1/1
129,Kohima,Satisfactory,77,SO2,1/1
130,Kolhapur,Satisfactory,100,PM10,2/2
131,Kolkata,Moderate,199,PM2.5,7/7
132,Kollam,Moderate,153,PM2.5,1/1
133,Korba,Satisfactory,94,"PM10, PM2.5",2/2
134,Kota,Moderate,190,"PM10, PM2.5",3/3
135,Kunjemura,Moderate,186,PM10,1/1
136,Kurukshetra,Moderate,106,PM10,1/1
137,Latur,Satisfactory,100,PM2.5,1/1
138,Lucknow,Satisfactory,89,PM10,6/6
139,Ludhiana,Moderate,113,PM10,1/1
140,Madikeri,Good,49,PM2.5,1/1
141,Madurai,Satisfactory,94,PM10,1/1
142,Mahad,Satisfactory,95,PM10,1/1
143,Malegaon,Moderate,122,PM10,1/1
144,Mandi Gobindgarh,Satisfactory,78,PM10,1/1
145,Mandideep,Moderate,116,NO2,1/1
146,Mandikhera,Satisfactory,93,PM10,1/1
147,Manesar,Moderate,141,PM2.5,1/1
148,Manguraha,Moderate,138,PM2.5,1/1
149,Meerut,Moderate,136,"PM10, PM2.5",3/3
150,Milupara,Moderate,195,O3,1/1
151,Mira-Bhayandar,Moderate,104,PM10,1/1
152,Moradabad,Satisfactory,71,PM10,6/7
153,Motihari,Satisfactory,71,PM2.5,1/1
154,Mumbai,Satisfactory,94,PM10,26/30
155,Munger,Moderate,113,PM2.5,1/1
156,Muzaffarnagar,Moderate,152,PM2.5,1/1
157,Muzaffarpur,Moderate,124,PM2.5,3/3
158,Mysuru,Satisfactory,77,PM10,1/1
159,Nagaon,Moderate,127,PM2.5,1/1
160,Nagapattinam,Satisfactory,100,PM2.5,1/1
161,Nagaur,Satisfactory,100,PM10,1/1
162,Nagpur,Moderate,144,PM2.5,4/4
163,Naharlagun,Moderate,199,PM2.5,1/1
164,Nalbari,Moderate,147,PM2.5,1/1
165,Narnaul,Poor,208,PM2.5,1/1
166,Nashik,Satisfactory,84,PM10,4/4
167,Navi Mumbai,Satisfactory,100,PM10,6/8
168,Noida,Poor,247,PM2.5,4/4
169,Pali,Satisfactory,99,PM2.5,1/1
170,Palwal,Good,48,PM10,1/1
171,Pampore,Satisfactory,52,PM10,1/1
172,Panchgaon,Good,39,PM2.5,1/1
173,Panchkula,Satisfactory,100,PM2.5,1/1
174,Panipat,Satisfactory,80,PM10,1/1
175,Parbhani,Satisfactory,90,PM10,1/1
176,Patiala,Satisfactory,84,PM10,1/1
177,Patna,Moderate,103,PM10,6/6
178,Perundurai,Satisfactory,83,PM10,1/1
179,Pimpri-Chinchwad,Moderate,102,PM10,4/4
180,Pithampur,Poor,240,PM2.5,1/1
181,Pratapgarh,Moderate,145,PM2.5,1/1
182,Prayagraj,Satisfactory,57,"PM10, PM2.5",3/3
183,Puducherry,Moderate,118,PM2.5,1/1
184,Pudukottai,Moderate,103,PM10,1/1
185,Pune,Moderate,136,PM2.5,9/13
186,Purnia,Moderate,118,PM2.5,1/1
187,Raipur,Satisfactory,95,"PM10, PM2.5",4/4
188,Rairangpur,Moderate,108,PM10,1/1
189,Rajamahendravaram,Poor,202,PM2.5,1/1
190,Rajgir,Satisfactory,87,CO,1/1
191,Rajsamand,Moderate,107,PM2.5,1/1
192,Ramanagara,Moderate,134,PM10,1/1
193,Ramanathapuram,Satisfactory,81,PM10,1/1
194,Ratlam,Moderate,122,PM10,1/1
195,Rishikesh,Satisfactory,56,O3,1/1
196,Rohtak,Moderate,109,PM2.5,1/1
197,Rourkela,Moderate,139,"PM10, PM2.5",3/3
198,Rupnagar,Good,50,CO,1/1
199,Sagar,Satisfactory,96,PM10,2/2
200,Saharsa,Moderate,118,PM10,1/1
201,Samastipur,Satisfactory,90,PM2.5,1/1
202,Sangli,Satisfactory,99,PM2.5,1/1
203,Sasaram,Satisfactory,61,PM10,1/1
204,Satna,Satisfactory,70,PM10,1/1
205,Sawai Madhopur,Moderate,142,PM10,1/1
206,Shillong,Moderate,109,PM2.5,1/2
207,Shivamogga,Satisfactory,60,PM10,1/1
208,Sikar,Poor,216,PM2.5,1/1
209,Silchar,Satisfactory,62,PM10,1/1
210,Siliguri,Moderate,129,PM10,1/1
211,Singrauli,Poor,267,PM2.5,1/1
212,Sirohi,Satisfactory,74,O3,1/1
213,Sivasagar,Satisfactory,70,O3,1/1
214,Siwan,Satisfactory,71,CO,1/1
215,Solapur,Moderate,114,"PM10, PM2.5",2/3
216,Sonipat,Moderate,136,PM2.5,1/1
217,Sri Ganganagar,Moderate,111,PM10,1/1
218,Srinagar,Good,30,"PM10, PM2.5",2/2
219,Suakati,Poor,272,PM2.5,1/1
220,Surat,Satisfactory,61,PM10,1/1
221,Talcher,Moderate,158,PM2.5,1/1
222,Thane,Satisfactory,100,PM10,2/2
223,Thanjavur,Good,40,PM10,1/1
224,Thiruvananthapuram,Moderate,122,"PM10, PM2.5",2/2
225,Thoothukudi,Satisfactory,82,PM10,1/1
226,Thrissur,Satisfactory,67,PM10,1/1
227,Tirumala,Moderate,171,PM2.5,1/1
228,Tirupati,Satisfactory,62,PM10,1/1
229,Tonk,Poor,254,PM2.5,1/1
230,Tumakuru,Moderate,148,PM10,1/1
231,Udaipur,Moderate,108,PM10,1/1
232,Ulhasnagar,Moderate,116,PM10,1/1
233,Vapi,Satisfactory,75,PM10,1/1
234,Varanasi,Satisfactory,52,"PM10, NO2 , PM2.5",4/4
235,Vatva,Moderate,177,PM2.5,1/1
236,Vijayapura,Satisfactory,62,PM10,1/1
237,Vijayawada,Satisfactory,88,PM2.5,4/4
238,Virar,Satisfactory,80,PM10,1/1
239,Visakhapatnam,Poor,230,PM2.5,1/1
240,Vrindavan,Good,37,PM10,1/1
241,Yadgir,Moderate,128,PM2.5,1/1
242,Yamuna Nagar,Satisfactory,91,PM10,1/1
